team,country_code,group,training_site,training_address,hotel_name,hotel_address,confirmed,source_notes
Mexico,MX,A,Centro de Alto Rendimiento,"Cam. a Santiago 34, Dolores Tlali, Tlalpan, 14655 Ciudad de México, CDMX, Mexico",Centro de Alto Rendimiento,"Cam. a Santiago 34, Dolores Tlali, Tlalpan, 14655 Ciudad de México, CDMX, Mexico",FALSE,Host nation - to confirm
South Korea,KR,A,Chivas Verde Valle,"C. Francisco I. Madero 5840, Jocotán, 45017 Zapopan, Jal., Mexico",Westin Guadalajara,"Av de Las Rosas 2911, Verde Valle, 44530 Guadalajara, Jal., Mexico",TRUE,SportsTravel
Czechia,CZ,A,Mansfield Stadium,"3405 Stadium Drive, Mansfield, TX 76063",Sheraton Fort Worth Downtown Hotel,"1701 Commerce St, Fort Worth, TX 76102",TRUE,SportsTravel
South Africa,ZA,A,Universidad del Futbol y Ciencias del Deporte,"Libramiento circuito de la Concepción km. 2 s/n 42160 Municipio La Concepción, Hgo., Mexico",Camino Real Pachuca,"Camino Real de La Plata Manzana 3 Lote 15, Zona Plateada, 42083 Pachuca de Soto, Hgo., Mexico",TRUE,SportsTravel
Canada,CA,B,National Soccer Development Centre,"3065 Wesbrook Mall, Vancouver, BC V6T 2J3, Canada","The Westin Bayshore, Vancouver","1601 Bayshore Dr., Vancouver, BC V6G 2V4, Canada",FALSE,Host nation - to confirm
Switzerland,CH,B,San Diego Jewish Academy,"11860 Carmel Creek Rd, San Diego, CA 92130",Fairmont Grand Del Mar,"5300 Grand Del Mar Ct, San Diego, CA 92130",TRUE,SportsTravel
Qatar,QA,B,Westmont College,"955 La Paz Rd, Santa Barbara, CA 93108",Courtyard by Marriott Santa Barbara Goleta,"401 Storke Rd, Goleta, CA 93117",PARTIAL,SportsTravel - training at UCSB/Westmont Montecito
Bosnia and Herzegovina,BA,B,America First Field,"9256 S State St, Sandy, UT 84070","Asher Adams, Autograph Collection","2 400 W, Salt Lake City, UT 84101",FALSE,To confirm
Brazil,BR,C,Columbia Park Training Center,"103 Columbia Road, Morris Township, NJ 07960",The Ridge Hotel,"300 N Maple Ave, Basking Ridge, NJ 07920",TRUE,SportsTravel
Morocco,MA,C,The Pingry School,"50 Country Day Dr, Short Hills, NJ 07078","Somerset Hills Hotel, Tapestry Collection by Hilton","200 Liberty Corner Rd, Warren, NJ 07059",FALSE,To confirm
